Sim1,Sim2,Sim3,Sim4,Sim5,Radius,TotalRunTime
1091,308,120,110,100,100,0.00
826,2917,844,467,465,500,0.00
1613,1537,952,992,888,1000,0.00
6062,21936,10431,5214,3941,5000,0.00
9353,21194,9093,13637,13407,10000,0.00
102621,75930,68986,41367,184883,50000,0.02
488599,125703,143044,145923,151154,100000,0.05
628537,633172,683686,817905,418394,500000,0.13
1168313,851020,1811192,3207854,1093728,1000000,0.40
5120880,7093463,8441563,7031631,6231094,5000000,1.39
16294595,10824702,10155459,11287311,18910198,10000000,2.98
282228940,125652403,58973078,62430049,146103715,50000000,32.20
149764442,117302654,645112045,295216822,148799627,100000000,134.06
1615237223,743992011,2067333493,1442120529,634514947,500000000,1212.20
